batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1507,9,17,43,8,1,9084319.97,223164.27182,11986927.3,264882.46254000004
1117,10,13,30,8,1,2480127.93,61247.76034,2704685.48,66165.71374
2025,3,20,36,6,1,1776548.1300000001,45770.32213999999,4306967.210000001,100773.36610000001
1289,15,27,24,8,2,843913.9,19461.376039999996,1052693.15,25603.585240000004
1403,4,5,56,8,3,371800.88,10820.242139999998,814115.9400000001,22488.067619999998
530,1,17,15,3,1,25184.840000000004,869.42942,101628.82,3149.1152599999996
1284,3,61,55,3,2,1469066.06,34026.2993,5055058.44,111878.40278
1152,3,31,60,8,2,1241092.37,28388.67526,3131309.1399999997,71412.82692
1150,15,1,26,8,1,1555622.8800000001,43540.63282,936573.49,23016.642660000005
693,14,26,16,7,2,124187.29,3703.89098,172134.58000000002,4902.641280000001
1610,4,29,23,3,2,137404.46,3963.3889200000003,741558.78,20576.36346
420,5,15,59,6,1,1157686.9,26932.15486,2740878.5300000003,63435.996100000004
61,7,1,41,4,3,16284.74,425.5032,29817.35,755.2170199999999
283,1,51,30,6,1,295367.96,6900.529339999999,1247965.52,29325.062359999993
746,11,1,40,5,1,1506415.1999999997,40830.590520000005,1051235.1400000001,25600.10058
643,9,24,52,4,2,1088938.24,27082.447360000002,1789035.98,42699.825939999995
795,11,22,61,4,2,1779427.1800000002,41180.153399999996,2806888.6399999997,62322.813780000004
845,15,57,11,4,1,199484.88,5545.278559999999,439228.02,11999.92566
1164,3,37,16,6,3,35382.71,1220.36812,63673.45,1918.95432
1749,9,10,29,6,3,620490.99,16443.766300000003,757183.77,19701.22518
1350,9,2,63,6,3,2165596.2299999995,52147.44952000001,1857985.92,41031.00826
1230,11,43,20,7,3,406751.23000000004,10710.20418,523471.63,13851.82812
954,3,28,63,3,3,483591.2799999999,12410.604759999998,1369688.33,34287.72612
1074,11,38,49,4,1,6359030.35,144048.01892,10864991.760000002,235707.20218000002
1199,7,45,38,4,3,346405.32999999996,8374.10324,1090441.58,26706.18472
1118,2,54,14,4,3,23591.870000000003,939.3467400000002,83496.48000000001,2868.4278200000003
679,5,31,54,4,2,535453.93,12501.73136,1826355.8199999998,43714.383499999996
265,2,36,9,3,3,12706.32,382.31237999999996,35338.58,1124.5134600000001
1916,10,17,52,8,3,3424015.9299999997,87202.85716,4206454.589999999,95322.24652
88,12,57,23,4,2,38544.83,1427.8584,74687.88999999998,2340.94952
780,10,27,19,7,1,628311.38,14056.716880000002,845660.04,20183.298880000002
1240,11,29,62,7,1,16882917.610000007,303927.05880000006,26636128.700000003,534902.2564000001
389,15,24,60,8,2,1791989.42,36377.83224,2140756.23,43923.55306
1225,9,28,11,5,3,69235.01,2237.33656,132287.24,3765.1535200000008
989,3,61,16,6,3,39519.57,1270.90268,110889.56000000001,3211.3151399999997
71,2,43,47,6,3,24941.239999999998,720.7311,85298.87999999999,2635.43296
1525,7,46,31,7,1,3543580.4599999995,89864.72717999999,6146736.620000001,145390.60132000002
1914,1,30,30,5,2,301526.95,7153.51498,1517631.03,34845.06356
453,15,50,43,6,2,1349352.03,30421.158199999998,1852821.2099999997,41881.210119999996
1046,12,27,51,3,3,1269223.4800000002,31754.975580000006,2182488.9300000006,49031.451499999996
1747,13,30,35,4,2,1540417.72,36916.20128,2745991.6,62126.89168
494,1,35,51,6,3,92374.68,2674.34674,647757.0700000001,17004.22174
1906,13,35,63,3,3,3772259.0100000002,92813.23922000002,5418050.13,130376.44208
208,7,60,53,6,3,190297.37000000002,4753.9934,491289.5599999999,12741.40396
803,10,29,23,3,1,600218.13,14296.302619999999,1355437.8199999998,32322.340140000004
1126,8,9,58,8,2,2227496.7600000002,53352.675059999994,2421312.1,54630.41298
400,6,40,43,7,1,1712290.5100000002,37088.64068,2983089.29,65602.50149999998
505,1,45,38,4,3,72109.81,2206.43186,380088.72,10343.17066
1978,3,19,9,5,2,22314.940000000002,682.2533800000001,50043.82,1508.1830000000002
524,1,6,33,5,3,18574.8,670.2737999999999,70634.54,2286.34768
1603,7,24,24,5,3,109566.35,3296.6727999999994,290630.39999999997,8413.7077
