batch_size,k_side_length,stride,in_chan,im_side_length,for_energy,for_time,back_energy,back_time
1678,6,2,13,98,23208580.779999997,509675.9365,0.0,0.0
2019,3,3,8,87,3179715.4,72750.08881999999,0.0,0.0
344,3,2,23,59,1387545.23,31306.819840000004,0.0,0.0
265,2,3,14,62,286617.97000000003,7064.535179999999,0.0,0.0
489,2,3,26,80,1478360.47,33555.10857999999,0.0,0.0
533,5,2,13,53,1688140.78,40670.9771,0.0,0.0
888,9,3,29,80,12141358.09,275610.31958,0.0,0.0
1719,9,3,13,53,4103602.2,105496.17026,0.0,0.0
1976,5,1,11,56,21447597.65,529058.97664,0.0,0.0
1882,4,3,17,70,5198219.71,124450.98206,0.0,0.0
65,3,1,5,83,454727.77999999997,12966.472300000001,0.0,0.0
