batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1753,3,11,32,8,1,1603410.26,14620.30158,2524698.12,25504.504439999997
1707,8,43,23,8,1,3989818.9199999995,40443.901699999995,4867394.699999999,56414.92668
1062,2,32,63,4,3,819385.1399999999,7834.01936,3576730.2800000003,31553.366239999996
122,13,7,30,8,3,45001.08,582.70528,56905.44,589.2438400000001
1034,15,48,19,3,2,373862.62,2942.35608,763754.1599999999,6071.31972
99,15,34,20,8,2,63868.259999999995,970.70532,102217.78,1096.78566
154,11,50,12,8,2,30462.580000000005,397.84936,47990.6,700.5754999999999
155,2,16,43,4,2,24047.78,287.84094,89637.24000000002,989.47086
1004,4,2,60,4,2,353536.75999999995,2939.44656,1526895.56,12566.43668
110,13,36,32,4,3,62608.48,679.9095,96403.57999999999,868.5757600000001
2047,12,46,44,5,3,5306938.319999999,42610.11052000001,7151252.459999999,64189.305420000004
180,4,44,62,8,2,587785.3400000001,5351.730079999999,1509023.3000000003,16018.88278
75,7,18,15,7,1,16125.48,243.83798000000002,30507.760000000002,512.33906
1696,6,27,60,4,2,3429959.44,26147.363300000005,9184271.0,79913.91984000002
1650,5,50,21,7,1,2136386.1199999996,20378.83214,4322552.42,48766.62966
1377,4,36,16,7,2,80141.34000000001,1080.62262,302531.04000000004,2541.3397
1534,13,51,34,6,3,2735217.62,23233.06772,3570897.88,36707.30064
113,6,61,22,7,1,204523.44000000003,2106.7290000000003,280763.5,3042.36432
1633,9,25,25,8,3,1019189.22,9539.34646,1199679.6400000001,11458.66918
894,13,24,25,3,3,221663.32,2087.4012199999997,496422.06000000006,3690.23782
934,14,60,9,8,3,36176.7,686.14422,104493.06,864.1902400000001
749,9,21,62,8,3,3276076.76,33707.045360000004,3159520.76,35764.28288
1646,9,55,24,8,3,1445970.48,14179.152300000002,1610987.08,16699.85234
326,8,27,55,7,3,728239.1,6321.66726,836795.8800000001,7118.88288
1304,1,57,47,7,3,826629.9400000001,9110.726639999999,4075409.5,44544.743239999996
216,3,60,37,3,3,40261.06,413.1321,131341.25999999998,1257.6187800000002
1153,13,30,9,4,3,15815.38,363.87792,89109.92,671.3351600000002
247,7,47,26,7,1,602607.1399999999,5518.78118,877229.0799999998,9033.27362
430,2,60,60,6,1,4212674.74,43162.68604,13543107.420000002,164855.92386000004
1897,13,22,28,3,1,3295708.0799999996,27381.302000000003,5616694.700000001,53034.35441999999
1294,10,49,13,3,3,88847.5,1012.31782,198656.57999999996,1468.72492
412,7,20,61,4,1,2317559.96,20603.707400000003,4552221.08,50627.2875
1436,13,49,35,3,2,3003490.8000000003,26123.635520000003,4770388.26,43093.39496
1932,10,46,23,7,1,7167969.92,82218.80575999999,8505707.02,98384.18882
1240,5,42,53,3,3,1192733.6999999997,9778.5344,3879640.9200000004,32029.152779999997
1362,6,62,20,4,2,327844.64,2804.1714,1107120.0,9684.477879999999
1963,15,41,63,7,3,12381973.879999999,127564.49808,13676443.3,155397.24318
